#MsgID    Audience Date       Time(milli)  PID   TID   Quoted 
000002B8 Prog.    2019-11-22 00:00:15.974   696   706 "SYS: LPT=17 APT=0 PU=  0% MU= 42% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15000280K SWP=20992K"
000002B9 Prog.    2019-11-22 00:00:15.976   696   706 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=4.3 kw/s=55.5 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002BA Prog.    2019-11-22 00:01:15.978   696   706 "SYS: LPT=17 APT=0 PU=  0% MU= 42% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15009164K SWP=20992K"
000002BB Prog.    2019-11-22 00:01:15.978   696   706 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=5.4 kw/s=46.0 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002BC Prog.    2019-11-22 00:02:15.980   696   706 "SYS: LPT=17 APT=0 PU=  0% MU= 42% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=14994036K SWP=20992K"
000002BD Prog.    2019-11-22 00:02:15.981   696   706 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=3.6 kw/s=38.0 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002BE Prog.    2019-11-22 00:03:15.983   696   706 "SYS: LPT=17 APT=0 PU=  0% MU= 43% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15025216K SWP=20992K"
000002BF Prog.    2019-11-22 00:03:15.984   696   706 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.3 kw/s=2.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.1 w/s=3.2 kw/s=46.5 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002C0 Prog.    2019-11-22 00:04:15.986   696   706 "SYS: LPT=17 APT=0 PU=  0% MU= 43% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15016472K SWP=20992K"
000002C1 Prog.    2019-11-22 00:04:15.987   696   706 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=1.0 kw/s=4.9 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=4.3 kw/s=66.0 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.1 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002C2 Prog.    2019-11-22 00:05:15.989   696   706 "SYS: LPT=17 APT=0 PU=  1% MU= 43% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15088788K SWP=20992K"
000002C3 Prog.    2019-11-22 00:05:15.990   696   706 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=14.0 kr/s=369.7 w/s=32.7 kw/s=2766.4 bsy=5 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=98"
000002C4 Prog.    2019-11-22 00:06:15.992   696   706 "SYS: LPT=17 APT=0 PU=  0% MU= 43% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15026040K SWP=20992K"
000002C5 Prog.    2019-11-22 00:06:15.993   696   706 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=5.8 kw/s=243.4 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002C6 Prog.    2019-11-22 00:07:15.995   696   706 "SYS: LPT=17 APT=0 PU=  0% MU= 43% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15041436K SWP=20992K"
000002C7 Prog.    2019-11-22 00:07:15.996   696   706 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=4.7 kw/s=96.1 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002C8 Prog.    2019-11-22 00:08:15.998   696   706 "SYS: LPT=17 APT=0 PU=  1% MU= 43% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15079736K SWP=20996K"
000002C9 Prog.    2019-11-22 00:08:15.999   696   706 "DSK: [nvme0n1] r/s=14.2 kr/s=303.5 w/s=0.7 kw/s=34.2 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=104.4 kr/s=482.4 w/s=8.6 kw/s=145.4 bsy=4 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=1 sys=0 iow=0 idle=98"
000002CA Prog.    2019-11-22 00:09:16.001   696   706 "SYS: LPT=17 APT=0 PU=  3% MU= 44% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15472100K SWP=20996K"
000002CB Prog.    2019-11-22 00:09:16.001   696   706 "DSK: [nvme0n1] r/s=5.0 kr/s=624.2 w/s=7.8 kw/s=671.4 bsy=2 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=1174.4 kr/s=5010.2 w/s=4.7 kw/s=53.6 bsy=55 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=2 idle=96"
000002CC Prog.    2019-11-22 00:10:16.003   696   706 "SYS: LPT=17 APT=0 PU=  1% MU= 45% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15749072K SWP=20996K"
000002CD Prog.    2019-11-22 00:10:16.004   696   706 "DSK: [nvme0n1] r/s=345.4 kr/s=2551.3 w/s=2.6 kw/s=1014.5 bsy=5 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=503.8 kr/s=2090.0 w/s=3.2 kw/s=34.7 bsy=28 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.1 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=98"
000002CE Prog.    2019-11-22 00:11:16.006   696   706 "SYS: LPT=17 APT=0 PU=  0% MU= 45% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15754464K SWP=20996K"
000002CF Prog.    2019-11-22 00:11:16.007   696   706 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=1.6 kw/s=8.8 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=3.2 kw/s=30.7 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002D0 Prog.    2019-11-22 00:12:16.009   696   706 "SYS: LPT=17 APT=0 PU=  0% MU= 45% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15791752K SWP=20996K"
000002D1 Prog.    2019-11-22 00:12:16.010   696   706 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=4.1 kw/s=42.8 bsy=0 NIC: [eth0] rxp/s=0.3 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002D2 Prog.    2019-11-22 00:13:16.012   696   706 "SYS: LPT=17 APT=0 PU=  0% MU= 45% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15765284K SWP=20996K"
000002D3 Prog.    2019-11-22 00:13:16.013   696   706 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.1 kw/s=0.3 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=3.2 kw/s=42.8 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002D4 Prog.    2019-11-22 00:14:16.015   696   706 "SYS: LPT=17 APT=0 PU=  0% MU= 45% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=15787704K SWP=20996K"
000002D5 Prog.    2019-11-22 00:14:16.016   696   706 "DSK: [nvme0n1] r/s=0.1 kr/s=6.1 w/s=0.0 kw/s=0.1 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=3.3 kw/s=26.3 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002D6 Prog.    2019-11-22 08:47:01.110   696   706 "SYS: LPT=17 APT=0 PU=  1% MU= 47% MAL=1448857600 MMP=1447649280 SBK=1208320 TOT=1415420K RAM=16612352K SWP=17232K"
000002D7 Prog.    2019-11-22 08:47:01.111   696   706 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 NIC: [eth0] rxp/s=0.0 rxk/s=0.0 txp/s=0.0 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=1 idle=0"
000002D8 User     2019-11-22 08:47:02.135   696   696 "Shutdown received"
000002D9 Prog.    2019-11-22 08:47:03.098   696   696 "Stopped watchdog"
000002DA User     2019-11-22 08:47:03.098   696   696 "KJService stop()"
00000000 Prog.    2019-11-22 08:47:04.050   984   984 "Opened log file //10.173.2.3/data/logs/mydockerthor_thorslave1/mythor2/thorslave.1.2019_11_22.log"
00000001 Prog.    2019-11-22 08:47:04.050   984   984 "Build community_7.6.15-closedown0Debug[heads/candidate-7.6.x-0-g404662-dirty]"
00000002 Prog.    2019-11-22 08:47:04.057   984   984 "registering 10.173.2.3:21100 - master 10.173.2.2:21000"
00000003 User     2019-11-22 08:47:04.119   984   984 "Initialization received"
00000004 User     2019-11-22 08:47:04.119   984   984 "Strand defaults: numStrands=0, blockSize=512"
00000005 User     2019-11-22 08:47:04.119   984   984 "Master build: community_7.6.15-closedown0Debug[heads/candidate-7.6.x-0-g404662-dirty]"
00000006 User     2019-11-22 08:47:04.119   984   984 "Registration confirmation sent"
00000007 User     2019-11-22 08:47:04.120   984   984 "verifying mp connection to rest of cluster"
00000008 User     2019-11-22 08:47:04.120   984   984 "verified mp connection to rest of cluster"
00000009 Prog.    2019-11-22 08:47:04.120   984   984 "registered 10.173.2.3:21100"
0000000A User     2019-11-22 08:47:04.120   984   984 "setIORetryCount set to : 0"
0000000B User     2019-11-22 08:47:04.121   984   984 "Disk space: /var/lib/HPCCSystems/hpcc-data/thor = 369196 MB, /var/lib/HPCCSystems/hpcc-mirror/thor = 369196 MB, /var/lib/HPCCSystems/mythor2/temp = 428045 MB"
0000000C Prog.    2019-11-22 08:47:04.121   984   984 "ThorSlave Version LCR - 4.1 started"
0000000D Prog.    2019-11-22 08:47:04.121   984   984 "Slave 10.173.2.3:21100 - temporary dir set to : /var/lib/HPCCSystems/mythor2/temp/21100/"
0000000E User     2019-11-22 08:47:04.121   984   984 "Using querySo directory: /var/lib/HPCCSystems/queries/mythor2_21100"
0000000F User     2019-11-22 08:47:04.121   984   984 "list disks: Creating PIPE program process : 'lsblk -o TYPE,MAJ:MIN --pairs' - hasinput=0, hasoutput=1 stderrbufsize=8192"
00000010 User     2019-11-22 08:47:04.131   984   984 "list disks: Pipe: process 992 complete 0"
00000011 Prog.    2019-11-22 08:47:04.133   984   984 "RoxieMemMgr: Setting memory limit to 1258291200 bytes (4800 pages)"
00000012 Prog.    2019-11-22 08:47:04.133   984   984 "Transparent huge pages used for roxiemem heap"
00000013 Prog.    2019-11-22 08:47:04.133   984   984 "Memory released to OS in 8192k blocks"
00000014 Prog.    2019-11-22 08:47:04.133   984   984 "RoxieMemMgr: 4800 Pages successfully allocated for the pool - memsize=1258291200 base=0x7f0924e00000 alignment=262144 bitmapSize=150"
